gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link
Female,Formal,Medium Warm,Spring,21,Spring Formal Warm,"['#CD853F', '#DEB887', '#F5DEB3', '#FFEFD5']",/static/images/spring_formal_warm.jpg,https://amazon.com/spring-formal-warm,https://flipkart.com/spring-formal-warm,https://meesho.com/spring-formal-warm
Female,Date,Deep Cool,Summer,25,Summer Date Cool,"['#008B8B', '#20B2AA', '#AFEEEE', '#E0FFFF']",/static/images/summer_date_cool.jpg,https://amazon.com/summer-date-cool,https://flipkart.com/summer-date-cool,https://meesho.com/summer-date-cool
Female,Date,Deep Warm,Summer,27,Summer Date Warm,"['#B22222', '#DC143C', '#FF6347', '#FFA07A']",/static/images/summer_date_warm.jpg,https://amazon.com/summer-date-warm,https://flipkart.com/summer-date-warm,https://meesho.com/summer-date-warm
Female,Travel,Light Cool,Autumn,13,Travel Comfort Cool,"['#708090', '#B0C4DE', '#E6E6FA', '#F8F8FF']",/static/images/travel_comfort_cool.jpg,https://amazon.com/travel-comfort-cool,https://flipkart.com/travel-comfort-cool,https://meesho.com/travel-comfort-cool
Female,Travel,Light Warm,Autumn,11,Travel Comfort Warm,"['#D2691E', '#DEB887', '#F5DEB3', '#FDF5E6']",/static/images/travel_comfort_warm.jpg,https://amazon.com/travel-comfort-warm,https://flipkart.com/travel-comfort-warm,https://meesho.com/travel-comfort-warm
Male,Casual,Medium Cool,Winter,4,Winter Casual Cool,"['#2F4F4F', '#708090', '#B0C4DE', '#D3D3D3']",/static/images/winter_casual_cool.jpg,https://amazon.com/winter-casual-cool,https://flipkart.com/winter-casual-cool,https://meesho.com/winter-casual-cool
Male,Casual,Medium Warm,Winter,2,Winter Casual Warm,"['#8B4513', '#A0522D', '#CD853F', '#D2B48C']",/static/images/winter_casual_warm.jpg,https://amazon.com/winter-casual-warm,https://flipkart.com/winter-casual-warm,https://meesho.com/winter-casual-warm
Male,Formal,Deep Cool,Spring,18,Spring Formal Cool,"['#191970', '#4169E1', '#6495ED', '#87CEFA']",/static/images/spring_formal_cool_m.jpg,https://amazon.com/spring-formal-cool-m,https://flipkart.com/spring-formal-cool-m,https://meesho.com/spring-formal-cool-m
Male,Formal,Deep Warm,Spring,23,Spring Formal Warm,"['#8B4513', '#A0522D', '#D2691E', '#F4A460']",/static/images/spring_formal_warm_m.jpg,https://amazon.com/spring-formal-warm-m,https://flipkart.com/spring-formal-warm-m,https://meesho.com/spring-formal-warm-m
Male,Date,Light Cool,Summer,24,Summer Date Cool,"['#4682B4', '#5F9EA0', '#87CEEB', '#B0E0E6']",/static/images/summer_date_cool_m.jpg,https://amazon.com/summer-date-cool-m,https://flipkart.com/summer-date-cool-m,https://meesho.com/summer-date-cool-m
Male,Date,Light Warm,Summer,31,Summer Date Warm,"['#CD853F', '#D2691E', '#F4A460', '#DEB887']",/static/images/summer_date_warm_m.jpg,https://amazon.com/summer-date-warm-m,https://flipkart.com/summer-date-warm-m,https://meesho.com/summer-date-warm-m
Male,Travel,Medium Cool,Autumn,10,Travel Casual Cool,"['#2F4F4F', '#4682B4', '#87CEEB', '#D3D3D3']",/static/images/travel_casual_cool_m.jpg,https://amazon.com/travel-casual-cool-m,https://flipkart.com/travel-casual-cool-m,https://meesho.com/travel-casual-cool-m
Male,Travel,Medium Warm,Autumn,17,Travel Casual Warm,"['#A0522D', '#CD853F', '#D2691E', '#F5DEB3']",/static/images/travel_casual_warm_m.jpg,https://amazon.com/travel-casual-warm-m,https://flipkart.com/travel-casual-warm-m,https://meesho.com/travel-casual-warm-m
Other,Party,Light Cool,Winter,1,Neutral Winter Party,"['#2C3E50', '#95A5A6', '#BDC3C7', '#ECF0F1']",/static/images/neutral_winter_party.jpg,https://amazon.com/neutral-winter-party,https://flipkart.com/neutral-winter-party,https://meesho.com/neutral-winter-party
Other,Party,Light Warm,Winter,0,Warm Neutral Party,"['#8B4513', '#CD853F', '#DEB887', '#F5DEB3']",/static/images/warm_neutral_party.jpg,https://amazon.com/warm-neutral-party,https://flipkart.com/warm-neutral-party,https://meesho.com/warm-neutral-party
Other,College,Medium Cool,Spring,16,Cool Neutral College,"['#34495E', '#5D6D7E', '#85929E', '#D5DBDB']",/static/images/cool_neutral_college.jpg,https://amazon.com/cool-neutral-college,https://flipkart.com/cool-neutral-college,https://meesho.com/cool-neutral-college
Other,College,Medium Warm,Spring,24,Warm Neutral College,"['#A0522D', '#CD853F', '#D2691E', '#DEB887']",/static/images/warm_neutral_college.jpg,https://amazon.com/warm-neutral-college,https://flipkart.com/warm-neutral-college,https://meesho.com/warm-neutral-college
Other,Office,Deep Cool,Summer,32,Professional Neutral Cool,"['#2C3E50', '#34495E', '#7FB3D3', '#D6EAF8']",/static/images/professional_neutral_cool.jpg,https://amazon.com/professional-neutral-cool,https://flipkart.com/professional-neutral-cool,https://meesho.com/professional-neutral-cool
Other,Office,Deep Warm,Summer,35,Professional Neutral Warm,"['#8B4513', '#A0522D', '#D2691E', '#F4A460']",/static/images/professional_neutral_warm.jpg,https://amazon.com/professional-neutral-warm,https://flipkart.com/professional-neutral-warm,https://meesho.com/professional-neutral-warm
Other,Marriage,Light Cool,Autumn,8,Wedding Neutral Cool,"['#2C3E50', '#85C1E9', '#D6EAF8', '#F8F9FA']",/static/images/wedding_neutral_cool.jpg,https://amazon.com/wedding-neutral-cool,https://flipkart.com/wedding-neutral-cool,https://meesho.com/wedding-neutral-cool
Other,Marriage,Light Warm,Autumn,12,Wedding Neutral Warm,"['#8B4513', '#CD853F', '#DEB887', '#F5DEB3']",/static/images/wedding_neutral_warm.jpg,https://amazon.com/wedding-neutral-warm,https://flipkart.com/wedding-neutral-warm,https://meesho.com/wedding-neutral-warm
Other,Casual,Medium Cool,Winter,5,Casual Neutral Cool,"['#34495E', '#7FB3D3', '#AED6F1', '#D6EAF8']",/static/images/casual_neutral_cool.jpg,https://amazon.com/casual-neutral-cool,https://flipkart.com/casual-neutral-cool,https://meesho.com/casual-neutral-cool
Other,Casual,Medium Warm,Winter,3,Casual Neutral Warm,"['#A0522D', '#CD853F', '#D2691E', '#DEB887']",/static/images/casual_neutral_warm.jpg,https://amazon.com/casual-neutral-warm,https://flipkart.com/casual-neutral-warm,https://meesho.com/casual-neutral-warm
Other,Formal,Deep Cool,Spring,19,Formal Neutral Cool,"['#2C3E50', '#34495E', '#5D6D7E', '#85929E']",/static/images/formal_neutral_cool.jpg,https://amazon.com/formal-neutral-cool,https://flipkart.com/formal-neutral-cool,https://meesho.com/formal-neutral-cool
Other,Formal,Deep Warm,Spring,25,Formal Neutral Warm,"['#8B4513', '#A0522D', '#CD853F', '#D2691E']",/static/images/formal_neutral_warm.jpg,https://amazon.com/formal-neutral-warm,https://flipkart.com/formal-neutral-warm,https://meesho.com/formal-neutral-warm
Other,Date,Light Cool,Summer,28,Date Neutral Cool,"['#4682B4', '#87CEEB', '#B0E0E6', '#E0F6FF']",/static/images/date_neutral_cool.jpg,https://amazon.com/date-neutral-cool,https://flipkart.com/date-neutral-cool,https://meesho.com/date-neutral-cool
Other,Date,Light Warm,Summer,33,Date Neutral Warm,"['#CD853F', '#D2691E', '#DEB887', '#F4A460']",/static/images/date_neutral_warm.jpg,https://amazon.com/date-neutral-warm,https://flipkart.com/date-neutral-warm,https://meesho.com/date-neutral-warm
Other,Travel,Medium Cool,Autumn,14,Travel Neutral Cool,"['#2F4F4F', '#4682B4', '#87CEEB', '#D3D3D3']",/static/images/travel_neutral_cool.jpg,https://amazon.com/travel-neutral-cool,https://flipkart.com/travel-neutral-cool,https://meesho.com/travel-neutral-cool
Other,Travel,Medium Warm,Autumn,18,Travel Neutral Warm,"['#A0522D', '#CD853F', '#D2691E', '#F5DEB3']",/static/images/travel_neutral_warm.jpg,https://amazon.com/travel-neutral-warm,https://flipkart.com/travel-neutral-warm,https://meesho.com/travel-neutral-warm
Female,Office,Medium Cool,Monsoon,14,Wedding Royal Attire,"['#87180A', '#145694', '#D3D0BF', '#CB9A11']",/static/images/wedding-royal-attire_0.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Male,Date,Light Warm,Spring,25,Casual Street Style,"['#3DB704', '#1F97C9', '#7904C5', '#8EDD2D']",/static/images/casual-street-style_1.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Male,Festival,Deep Warm,Summer,6,Elegant Winter Dress,"['#07AD74', '#38D1B6', '#397954', '#B168FC']",/static/images/elegant-winter-dress_2.jpg,https://amazon.com/elegant-winter-dress,https://flipkart.com/elegant-winter-dress,https://meesho.com/elegant-winter-dress
Male,College,Light Warm,Winter,32,Trendy College Look,"['#80250C', '#08D1E9', '#9D8E5D', '#9AA241']",/static/images/trendy-college-look_3.jpg,https://amazon.com/trendy-college-look,https://flipkart.com/trendy-college-look,https://meesho.com/trendy-college-look
Female,College,Light Warm,Summer,22,Modern Summer Look,"['#C28ADD', '#465A69', '#36E2D5', '#DA7072']",/static/images/modern-summer-look_4.jpg,https://amazon.com/modern-summer-look,https://flipkart.com/modern-summer-look,https://meesho.com/modern-summer-look
Female,Date,Medium Warm,Autumn,34,Classic Office Outfit,"['#673FB3', '#B37481', '#ABF611', '#378A0A']",/static/images/classic-office-outfit_5.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Office,Olive,Monsoon,22,Ethnic Festive Wear,"['#3E2993', '#318427', '#BF91E9', '#906768']",/static/images/ethnic-festive-wear_6.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Female,Travel,Light Warm,Winter,17,Modern Summer Look,"['#6582F6', '#C602E3', '#B24AA6', '#C963D4']",/static/images/modern-summer-look_7.jpg,https://amazon.com/modern-summer-look,https://flipkart.com/modern-summer-look,https://meesho.com/modern-summer-look
Male,Festival,Medium Cool,Summer,12,Sporty Active Wear,"['#C2FFF4', '#09CF62', '#C47CED', '#D6E2CF']",/static/images/sporty-active-wear_8.jpg,https://amazon.com/sporty-active-wear,https://flipkart.com/sporty-active-wear,https://meesho.com/sporty-active-wear
Female,College,Medium Warm,Autumn,8,Travel Comfort Fit,"['#50B591', '#79D261', '#421E10', '#48FCE2']",/static/images/travel-comfort-fit_9.jpg,https://amazon.com/travel-comfort-fit,https://flipkart.com/travel-comfort-fit,https://meesho.com/travel-comfort-fit
Female,Wedding,Medium Cool,Monsoon,16,Elegant Winter Dress,"['#D4AB1A', '#136645', '#BE9847', '#04B89D']",/static/images/elegant-winter-dress_10.jpg,https://amazon.com/elegant-winter-dress,https://flipkart.com/elegant-winter-dress,https://meesho.com/elegant-winter-dress
Male,Office,Medium Cool,Winter,37,Ethnic Festive Wear,"['#44DEEE', '#9D4633', '#2C0FA4', '#248031']",/static/images/ethnic-festive-wear_11.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Ethnic,Light Warm,Summer,22,Casual Street Style,"['#1FA376', '#A2D828', '#E47A48', '#5A9CB5']",/static/images/casual-street-style_12.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Male,Date,Olive,Summer,16,Casual Street Style,"['#8FE718', '#16022F', '#1FBD0A', '#60BEE6']",/static/images/casual-street-style_13.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Female,Wedding,Light Warm,Winter,26,Trendy College Look,"['#E94869', '#A04E19', '#22C227', '#64D01B']",/static/images/trendy-college-look_14.jpg,https://amazon.com/trendy-college-look,https://flipkart.com/trendy-college-look,https://meesho.com/trendy-college-look
Female,Party,Deep Warm,Spring,24,Casual Street Style,"['#28D84F', '#A0FA4F', '#5B3B2F', '#C49101']",/static/images/casual-street-style_15.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Male,Festival,Deep Warm,Summer,17,Classic Office Outfit,"['#C1819A', '#E0F63E', '#590462', '#91E969']",/static/images/classic-office-outfit_16.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Date,Light Warm,Summer,20,Premium Party Outfit,"['#7FEECB', '#0B7AF8', '#9C4C76', '#F1F448']",/static/images/premium-party-outfit_17.jpg,https://amazon.com/premium-party-outfit,https://flipkart.com/premium-party-outfit,https://meesho.com/premium-party-outfit
Female,Wedding,Light Cool,Spring,38,Ethnic Festive Wear,"['#2B26C0', '#A2EF07', '#9EC1C9', '#EF34AA']",/static/images/ethnic-festive-wear_18.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Casual,Deep Cool,Autumn,5,Ethnic Festive Wear,"['#73FE23', '#D4A2B6', '#463726', '#B56980']",/static/images/ethnic-festive-wear_19.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Female,Wedding,Light Warm,Autumn,19,Wedding Royal Attire,"['#6720EF', '#A0E854', '#5C8C94', '#0B11EF']",/static/images/wedding-royal-attire_20.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Male,Party,Deep Cool,Monsoon,25,Wedding Royal Attire,"['#546684', '#A56C4C', '#CCCCBA', '#915BA5']",/static/images/wedding-royal-attire_21.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Female,Party,Deep Warm,Monsoon,6,Wedding Royal Attire,"['#8CD571', '#7F3D9D', '#11613E', '#71C4C8']",/static/images/wedding-royal-attire_22.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Male,Casual,Light Warm,Monsoon,9,Ethnic Festive Wear,"['#7C7989', '#CA3475', '#966971', '#88B9CC']",/static/images/ethnic-festive-wear_23.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Festival,Deep Warm,Autumn,20,Ethnic Festive Wear,"['#913515', '#3B67C9', '#AA5C99', '#671FD0']",/static/images/ethnic-festive-wear_24.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Travel,Light Warm,Monsoon,14,Travel Comfort Fit,"['#B5AF35', '#EEB5F3', '#09ED09', '#C5C9AD']",/static/images/travel-comfort-fit_25.jpg,https://amazon.com/travel-comfort-fit,https://flipkart.com/travel-comfort-fit,https://meesho.com/travel-comfort-fit
Male,Ethnic,Light Cool,Monsoon,27,Classic Office Outfit,"['#867BB9', '#C4410A', '#9550BD', '#D5234E']",/static/images/classic-office-outfit_26.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Female,Travel,Deep Cool,Monsoon,27,Classic Office Outfit,"['#0C2884', '#2A72CF', '#EC7490', '#83EAB5']",/static/images/classic-office-outfit_27.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Office,Medium Cool,Monsoon,7,Sporty Active Wear,"['#EA7404', '#581C58', '#A14654', '#566B24']",/static/images/sporty-active-wear_28.jpg,https://amazon.com/sporty-active-wear,https://flipkart.com/sporty-active-wear,https://meesho.com/sporty-active-wear
Male,Casual,Deep Warm,Monsoon,6,Travel Comfort Fit,"['#002C79', '#A4B2C4', '#E2FEBD', '#BA10BD']",/static/images/travel-comfort-fit_29.jpg,https://amazon.com/travel-comfort-fit,https://flipkart.com/travel-comfort-fit,https://meesho.com/travel-comfort-fit
Male,Date,Medium Warm,Spring,5,Elegant Winter Dress,"['#06061F', '#52F84B', '#B7E2AE', '#151B09']",/static/images/elegant-winter-dress_30.jpg,https://amazon.com/elegant-winter-dress,https://flipkart.com/elegant-winter-dress,https://meesho.com/elegant-winter-dress
Female,Travel,Light Cool,Spring,36,Trendy College Look,"['#F72E3C', '#AB9F53', '#6C3B24', '#B1AE57']",/static/images/trendy-college-look_31.jpg,https://amazon.com/trendy-college-look,https://flipkart.com/trendy-college-look,https://meesho.com/trendy-college-look
Male,Party,Olive,Autumn,30,Travel Comfort Fit,"['#B359C0', '#521C03', '#929555', '#C5EA60']",/static/images/travel-comfort-fit_32.jpg,https://amazon.com/travel-comfort-fit,https://flipkart.com/travel-comfort-fit,https://meesho.com/travel-comfort-fit
Male,College,Olive,Spring,26,Trendy College Look,"['#1C5003', '#B3CCCD', '#D13B0D', '#AC22C3']",/static/images/trendy-college-look_33.jpg,https://amazon.com/trendy-college-look,https://flipkart.com/trendy-college-look,https://meesho.com/trendy-college-look
Female,Date,Light Cool,Monsoon,40,Sporty Active Wear,"['#92B2C9', '#19239B', '#4B5305', '#BCD0A0']",/static/images/sporty-active-wear_34.jpg,https://amazon.com/sporty-active-wear,https://flipkart.com/sporty-active-wear,https://meesho.com/sporty-active-wear
Male,Date,Light Warm,Monsoon,22,Premium Party Outfit,"['#7DA68A', '#872B88', '#A860B1', '#11CCC2']",/static/images/premium-party-outfit_35.jpg,https://amazon.com/premium-party-outfit,https://flipkart.com/premium-party-outfit,https://meesho.com/premium-party-outfit
Male,Wedding,Medium Warm,Autumn,24,Modern Summer Look,"['#F9EEC3', '#B8AA2B', '#64D4AF', '#21E571']",/static/images/modern-summer-look_36.jpg,https://amazon.com/modern-summer-look,https://flipkart.com/modern-summer-look,https://meesho.com/modern-summer-look
Female,Festival,Light Cool,Autumn,14,Classic Office Outfit,"['#34152E', '#800838', '#952256', '#FBC0BE']",/static/images/classic-office-outfit_37.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Party,Light Warm,Autumn,18,Wedding Royal Attire,"['#6214E2', '#74DA8F', '#47E679', '#3A9430']",/static/images/wedding-royal-attire_38.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Female,Wedding,Light Cool,Autumn,9,Elegant Winter Dress,"['#115D66', '#C6DFC8', '#2160B5', '#5A01F9']",/static/images/elegant-winter-dress_39.jpg,https://amazon.com/elegant-winter-dress,https://flipkart.com/elegant-winter-dress,https://meesho.com/elegant-winter-dress
Female,Office,Olive,Monsoon,38,Trendy College Look,"['#EF5265', '#B40764', '#D1EE55', '#6C07B6']",/static/images/trendy-college-look_40.jpg,https://amazon.com/trendy-college-look,https://flipkart.com/trendy-college-look,https://meesho.com/trendy-college-look
Male,Casual,Deep Warm,Monsoon,24,Casual Street Style,"['#CC9AAC', '#96933F', '#69D270', '#000462']",/static/images/casual-street-style_41.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Male,Ethnic,Medium Cool,Winter,19,Classic Office Outfit,"['#F92F4A', '#9A1D14', '#130CBE', '#9384BC']",/static/images/classic-office-outfit_42.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Party,Deep Cool,Autumn,30,Wedding Royal Attire,"['#D53B5E', '#B9A2BE', '#D5867C', '#A45C15']",/static/images/wedding-royal-attire_43.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Male,Date,Light Warm,Winter,26,Modern Summer Look,"['#C348DB', '#3FBF45', '#3C6901', '#7A2778']",/static/images/modern-summer-look_44.jpg,https://amazon.com/modern-summer-look,https://flipkart.com/modern-summer-look,https://meesho.com/modern-summer-look
Female,Festival,Olive,Winter,5,Casual Street Style,"['#53BFDA', '#3AF285', '#8825CB', '#B64938']",/static/images/casual-street-style_45.jpg,https://amazon.com/casual-street-style,https://flipkart.com/casual-street-style,https://meesho.com/casual-street-style
Female,Party,Medium Warm,Spring,36,Ethnic Festive Wear,"['#25AE03', '#5914D9', '#A68AA2', '#AECD5A']",/static/images/ethnic-festive-wear_46.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Festival,Deep Cool,Winter,40,Travel Comfort Fit,"['#EB16A4', '#177D91', '#B794C2', '#B6EBB3']",/static/images/travel-comfort-fit_47.jpg,https://amazon.com/travel-comfort-fit,https://flipkart.com/travel-comfort-fit,https://meesho.com/travel-comfort-fit
Male,Travel,Light Warm,Autumn,26,Elegant Winter Dress,"['#2C7324', '#6EA43E', '#54F035', '#FAF03A']",/static/images/elegant-winter-dress_48.jpg,https://amazon.com/elegant-winter-dress,https://flipkart.com/elegant-winter-dress,https://meesho.com/elegant-winter-dress
Female,Party,Medium Cool,Autumn,21,Sporty Active Wear,"['#2898A8', '#D9DA2D', '#A16E9B', '#677BC2']",/static/images/sporty-active-wear_49.jpg,https://amazon.com/sporty-active-wear,https://flipkart.com/sporty-active-wear,https://meesho.com/sporty-active-wear
Female,Date,Light Warm,Spring,26,Ethnic Festive Wear,"['#ECAB14', '#5C2476', '#F11A12', '#A2E6FA']",/static/images/ethnic-festive-wear_50.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,College,Deep Warm,Monsoon,29,Wedding Royal Attire,"['#85FC41', '#EDA892', '#3F18F4', '#BAE08B']",/static/images/wedding-royal-attire_51.jpg,https://amazon.com/wedding-royal-attire,https://flipkart.com/wedding-royal-attire,https://meesho.com/wedding-royal-attire
Female,College,Light Cool,Monsoon,7,Sporty Active Wear,"['#4CFE08', '#68F0BC', '#12D265', '#E6B73E']",/static/images/sporty-active-wear_52.jpg,https://amazon.com/sporty-active-wear,https://flipkart.com/sporty-active-wear,https://meesho.com/sporty-active-wear
Female,Casual,Medium Cool,Spring,34,Ethnic Festive Wear,"['#4D9055', '#77E924', '#2A8042', '#76ABCC']",/static/images/ethnic-festive-wear_53.jpg,https://amazon.com/ethnic-festive-wear,https://flipkart.com/ethnic-festive-wear,https://meesho.com/ethnic-festive-wear
Male,Party,Light Cool,Autumn,35,Classic Office Outfit,"['#EFD457', '#404306', '#2A8F01', '#E82C6D']",/static/images/classic-office-outfit_54.jpg,https://amazon.com/classic-office-outfit,https://flipkart.com/classic-office-outfit,https://meesho.com/classic-office-outfit
Male,Festival,Olive,Summer,34,Premium Party Outfit,"['#659CF4', '#4A358F', '#A310E9', '#DFF0F1']",/static/images/premium-party-outfit_55.jpg,https://amazon.com/premium-party-outfit,https://flipkart.com/premium-party-outfit,https://meesho.com/premium-party-outfit
