gender,occasion,skin_tone,season,temperature,outfit_name,color_palette,image_url,amazon_link,flipkart_link,meesho_link,standard_category,image_url_replaced,amazon_link_checked,flipkart_link_checked,meesho_link_checked,notes
Male,Marriage,Light Cool,Autumn,14,Wedding Cool Formal,"['#2C3E50', '#85C1E9', '#D6EAF8', '#EBF5FB']",/static/images/wedding_cool_formal.jpg,https://amazon.com/wedding-cool-formal,https://flipkart.com/wedding-cool-formal,https://meesho.com/wedding-cool-formal,Wedding,https://unsplash.com/s/photos/Wedding+Cool+Formal+%5B%27%232C3E50%27%2C+%27%2385C1E9%27%2C+%27%23D6EAF8%27%2C+%27%23EBF5FB%27%5D+outfit,https://amazon.com/wedding-cool-formal,https://flipkart.com/wedding-cool-formal,https://meesho.com/wedding-cool-formal,local image path replaced
Male,Marriage,Light Warm,Autumn,16,Wedding Warm Formal,"['#8B4513', '#CD853F', '#F4A460', '#FAEBD7']",/static/images/wedding_warm_formal.jpg,https://amazon.com/wedding-warm-formal,https://flipkart.com/wedding-warm-formal,https://meesho.com/wedding-warm-formal,Wedding,https://unsplash.com/s/photos/Wedding+Warm+Formal+%5B%27%238B4513%27%2C+%27%23CD853F%27%2C+%27%23F4A460%27%2C+%27%23FAEBD7%27%5D+outfit,https://amazon.com/wedding-warm-formal,https://flipkart.com/wedding-warm-formal,https://meesho.com/wedding-warm-formal,local image path replaced
Female,Casual,Light Cool,Winter,7,Cozy Winter Casual,"['#B0C4DE', '#E6E6FA', '#F0F8FF', '#F5F5F5']",/static/images/cozy_winter_casual.jpg,https://amazon.com/cozy-winter-casual,https://flipkart.com/cozy-winter-casual,https://meesho.com/cozy-winter-casual,Casual,https://unsplash.com/s/photos/Cozy+Winter+Casual+%5B%27%23B0C4DE%27%2C+%27%23E6E6FA%27%2C+%27%23F0F8FF%27%2C+%27%23F5F5F5%27%5D+outfit,https://amazon.com/cozy-winter-casual,https://flipkart.com/cozy-winter-casual,https://meesho.com/cozy-winter-casual,local image path replaced
Female,Casual,Light Warm,Winter,9,Warm Winter Casual,"['#DEB887', '#F5DEB3', '#FFEFD5', '#FFF8DC']",/static/images/warm_winter_casual.jpg,https://amazon.com/warm-winter-casual,https://flipkart.com/warm-winter-casual,https://meesho.com/warm-winter-casual,Casual,https://unsplash.com/s/photos/Warm+Winter+Casual+%5B%27%23DEB887%27%2C+%27%23F5DEB3%27%2C+%27%23FFEFD5%27%2C+%27%23FFF8DC%27%5D+outfit,https://amazon.com/warm-winter-casual,https://flipkart.com/warm-winter-casual,https://meesho.com/warm-winter-casual,local image path replaced
Female,Formal,Medium Cool,Spring,17,Spring Formal Cool,"['#4682B4', '#87CEEB', '#B0E0E6', '#E0F6FF']",/static/images/spring_formal_cool.jpg,https://amazon.com/spring-formal-cool,https://flipkart.com/spring-formal-cool,https://meesho.com/spring-formal-cool,Professional,https://unsplash.com/s/photos/Spring+Formal+Cool+%5B%27%234682B4%27%2C+%27%2387CEEB%27%2C+%27%23B0E0E6%27%2C+%27%23E0F6FF%27%5D+outfit,https://amazon.com/spring-formal-cool,https://flipkart.com/spring-formal-cool,https://meesho.com/spring-formal-cool,local image path replaced
Female,Formal,Medium Warm,Spring,21,Spring Formal Warm,"['#CD853F', '#DEB887', '#F5DEB3', '#FFEFD5']",/static/images/spring_formal_warm.jpg,https://amazon.com/spring-formal-warm,https://flipkart.com/spring-formal-warm,https://meesho.com/spring-formal-warm,Professional,https://unsplash.com/s/photos/Spring+Formal+Warm+%5B%27%23CD853F%27%2C+%27%23DEB887%27%2C+%27%23F5DEB3%27%2C+%27%23FFEFD5%27%5D+outfit,https://amazon.com/spring-formal-warm,https://flipkart.com/spring-formal-warm,https://meesho.com/spring-formal-warm,local image path replaced
Female,Date,Deep Cool,Summer,25,Summer Date Cool,"['#008B8B', '#20B2AA', '#AFEEEE', '#E0FFFF']",/static/images/summer_date_cool.jpg,https://amazon.com/summer-date-cool,https://flipkart.com/summer-date-cool,https://meesho.com/summer-date-cool,Party,https://unsplash.com/s/photos/Summer+Date+Cool+%5B%27%23008B8B%27%2C+%27%2320B2AA%27%2C+%27%23AFEEEE%27%2C+%27%23E0FFFF%27%5D+outfit,https://amazon.com/summer-date-cool,https://flipkart.com/summer-date-cool,https://meesho.com/summer-date-cool,local image path replaced
Female,Date,Deep Warm,Summer,27,Summer Date Warm,"['#B22222', '#DC143C', '#FF6347', '#FFA07A']",/static/images/summer_date_warm.jpg,https://amazon.com/summer-date-warm,https://flipkart.com/summer-date-warm,https://meesho.com/summer-date-warm,Party,https://unsplash.com/s/photos/Summer+Date+Warm+%5B%27%23B22222%27%2C+%27%23DC143C%27%2C+%27%23FF6347%27%2C+%27%23FFA07A%27%5D+outfit,https://amazon.com/summer-date-warm,https://flipkart.com/summer-date-warm,https://meesho.com/summer-date-warm,local image path replaced
Female,Travel,Light Cool,Autumn,13,Travel Comfort Cool,"['#708090', '#B0C4DE', '#E6E6FA', '#F8F8FF']",/static/images/travel_comfort_cool.jpg,https://amazon.com/travel-comfort-cool,https://flipkart.com/travel-comfort-cool,https://meesho.com/travel-comfort-cool,Casual,https://unsplash.com/s/photos/Travel+Comfort+Cool+%5B%27%23708090%27%2C+%27%23B0C4DE%27%2C+%27%23E6E6FA%27%2C+%27%23F8F8FF%27%5D+outfit,https://amazon.com/travel-comfort-cool,https://flipkart.com/travel-comfort-cool,https://meesho.com/travel-comfort-cool,local image path replaced
Female,Travel,Light Warm,Autumn,11,Travel Comfort Warm,"['#D2691E', '#DEB887', '#F5DEB3', '#FDF5E6']",/static/images/travel_comfort_warm.jpg,https://amazon.com/travel-comfort-warm,https://flipkart.com/travel-comfort-warm,https://meesho.com/travel-comfort-warm,Casual,https://unsplash.com/s/photos/Travel+Comfort+Warm+%5B%27%23D2691E%27%2C+%27%23DEB887%27%2C+%27%23F5DEB3%27%2C+%27%23FDF5E6%27%5D+outfit,https://amazon.com/travel-comfort-warm,https://flipkart.com/travel-comfort-warm,https://meesho.com/travel-comfort-warm,local image path replaced
Male,Casual,Medium Cool,Winter,4,Winter Casual Cool,"['#2F4F4F', '#708090', '#B0C4DE', '#D3D3D3']",/static/images/winter_casual_cool.jpg,https://amazon.com/winter-casual-cool,https://flipkart.com/winter-casual-cool,https://meesho.com/winter-casual-cool,Casual,https://unsplash.com/s/photos/Winter+Casual+Cool+%5B%27%232F4F4F%27%2C+%27%23708090%27%2C+%27%23B0C4DE%27%2C+%27%23D3D3D3%27%5D+outfit,https://amazon.com/winter-casual-cool,https://flipkart.com/winter-casual-cool,https://meesho.com/winter-casual-cool,local image path replaced
Male,Casual,Medium Warm,Winter,2,Winter Casual Warm,"['#8B4513', '#A0522D', '#CD853F', '#D2B48C']",/static/images/winter_casual_warm.jpg,https://amazon.com/winter-casual-warm,https://flipkart.com/winter-casual-warm,https://meesho.com/winter-casual-warm,Casual,https://unsplash.com/s/photos/Winter+Casual+Warm+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2B48C%27%5D+outfit,https://amazon.com/winter-casual-warm,https://flipkart.com/winter-casual-warm,https://meesho.com/winter-casual-warm,local image path replaced
Male,Formal,Deep Cool,Spring,18,Spring Formal Cool,"['#191970', '#4169E1', '#6495ED', '#87CEFA']",/static/images/spring_formal_cool_m.jpg,https://amazon.com/spring-formal-cool-m,https://flipkart.com/spring-formal-cool-m,https://meesho.com/spring-formal-cool-m,Professional,https://unsplash.com/s/photos/Spring+Formal+Cool+%5B%27%23191970%27%2C+%27%234169E1%27%2C+%27%236495ED%27%2C+%27%2387CEFA%27%5D+outfit,https://amazon.com/spring-formal-cool-m,https://flipkart.com/spring-formal-cool-m,https://meesho.com/spring-formal-cool-m,local image path replaced
Male,Formal,Deep Warm,Spring,23,Spring Formal Warm,"['#8B4513', '#A0522D', '#D2691E', '#F4A460']",/static/images/spring_formal_warm_m.jpg,https://amazon.com/spring-formal-warm-m,https://flipkart.com/spring-formal-warm-m,https://meesho.com/spring-formal-warm-m,Professional,https://unsplash.com/s/photos/Spring+Formal+Warm+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23D2691E%27%2C+%27%23F4A460%27%5D+outfit,https://amazon.com/spring-formal-warm-m,https://flipkart.com/spring-formal-warm-m,https://meesho.com/spring-formal-warm-m,local image path replaced
Male,Date,Light Cool,Summer,24,Summer Date Cool,"['#4682B4', '#5F9EA0', '#87CEEB', '#B0E0E6']",/static/images/summer_date_cool_m.jpg,https://amazon.com/summer-date-cool-m,https://flipkart.com/summer-date-cool-m,https://meesho.com/summer-date-cool-m,Party,https://unsplash.com/s/photos/Summer+Date+Cool+%5B%27%234682B4%27%2C+%27%235F9EA0%27%2C+%27%2387CEEB%27%2C+%27%23B0E0E6%27%5D+outfit,https://amazon.com/summer-date-cool-m,https://flipkart.com/summer-date-cool-m,https://meesho.com/summer-date-cool-m,local image path replaced
Male,Date,Light Warm,Summer,31,Summer Date Warm,"['#CD853F', '#D2691E', '#F4A460', '#DEB887']",/static/images/summer_date_warm_m.jpg,https://amazon.com/summer-date-warm-m,https://flipkart.com/summer-date-warm-m,https://meesho.com/summer-date-warm-m,Party,https://unsplash.com/s/photos/Summer+Date+Warm+%5B%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23F4A460%27%2C+%27%23DEB887%27%5D+outfit,https://amazon.com/summer-date-warm-m,https://flipkart.com/summer-date-warm-m,https://meesho.com/summer-date-warm-m,local image path replaced
Male,Travel,Medium Cool,Autumn,10,Travel Casual Cool,"['#2F4F4F', '#4682B4', '#87CEEB', '#D3D3D3']",/static/images/travel_casual_cool_m.jpg,https://amazon.com/travel-casual-cool-m,https://flipkart.com/travel-casual-cool-m,https://meesho.com/travel-casual-cool-m,Casual,https://unsplash.com/s/photos/Travel+Casual+Cool+%5B%27%232F4F4F%27%2C+%27%234682B4%27%2C+%27%2387CEEB%27%2C+%27%23D3D3D3%27%5D+outfit,https://amazon.com/travel-casual-cool-m,https://flipkart.com/travel-casual-cool-m,https://meesho.com/travel-casual-cool-m,local image path replaced
Male,Travel,Medium Warm,Autumn,17,Travel Casual Warm,"['#A0522D', '#CD853F', '#D2691E', '#F5DEB3']",/static/images/travel_casual_warm_m.jpg,https://amazon.com/travel-casual-warm-m,https://flipkart.com/travel-casual-warm-m,https://meesho.com/travel-casual-warm-m,Casual,https://unsplash.com/s/photos/Travel+Casual+Warm+%5B%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23F5DEB3%27%5D+outfit,https://amazon.com/travel-casual-warm-m,https://flipkart.com/travel-casual-warm-m,https://meesho.com/travel-casual-warm-m,local image path replaced
Other,Party,Light Cool,Winter,1,Neutral Winter Party,"['#2C3E50', '#95A5A6', '#BDC3C7', '#ECF0F1']",/static/images/neutral_winter_party.jpg,https://amazon.com/neutral-winter-party,https://flipkart.com/neutral-winter-party,https://meesho.com/neutral-winter-party,Party,https://unsplash.com/s/photos/Neutral+Winter+Party+%5B%27%232C3E50%27%2C+%27%2395A5A6%27%2C+%27%23BDC3C7%27%2C+%27%23ECF0F1%27%5D+outfit,https://amazon.com/neutral-winter-party,https://flipkart.com/neutral-winter-party,https://meesho.com/neutral-winter-party,local image path replaced
Other,Party,Light Warm,Winter,0,Warm Neutral Party,"['#8B4513', '#CD853F', '#DEB887', '#F5DEB3']",/static/images/warm_neutral_party.jpg,https://amazon.com/warm-neutral-party,https://flipkart.com/warm-neutral-party,https://meesho.com/warm-neutral-party,Party,https://unsplash.com/s/photos/Warm+Neutral+Party+%5B%27%238B4513%27%2C+%27%23CD853F%27%2C+%27%23DEB887%27%2C+%27%23F5DEB3%27%5D+outfit,https://amazon.com/warm-neutral-party,https://flipkart.com/warm-neutral-party,https://meesho.com/warm-neutral-party,local image path replaced
Other,College,Medium Cool,Spring,16,Cool Neutral College,"['#34495E', '#5D6D7E', '#85929E', '#D5DBDB']",/static/images/cool_neutral_college.jpg,https://amazon.com/cool-neutral-college,https://flipkart.com/cool-neutral-college,https://meesho.com/cool-neutral-college,College,https://unsplash.com/s/photos/Cool+Neutral+College+%5B%27%2334495E%27%2C+%27%235D6D7E%27%2C+%27%2385929E%27%2C+%27%23D5DBDB%27%5D+outfit,https://amazon.com/cool-neutral-college,https://flipkart.com/cool-neutral-college,https://meesho.com/cool-neutral-college,local image path replaced
Other,College,Medium Warm,Spring,24,Warm Neutral College,"['#A0522D', '#CD853F', '#D2691E', '#DEB887']",/static/images/warm_neutral_college.jpg,https://amazon.com/warm-neutral-college,https://flipkart.com/warm-neutral-college,https://meesho.com/warm-neutral-college,College,https://unsplash.com/s/photos/Warm+Neutral+College+%5B%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23DEB887%27%5D+outfit,https://amazon.com/warm-neutral-college,https://flipkart.com/warm-neutral-college,https://meesho.com/warm-neutral-college,local image path replaced
Other,Office,Deep Cool,Summer,32,Professional Neutral Cool,"['#2C3E50', '#34495E', '#7FB3D3', '#D6EAF8']",/static/images/professional_neutral_cool.jpg,https://amazon.com/professional-neutral-cool,https://flipkart.com/professional-neutral-cool,https://meesho.com/professional-neutral-cool,Professional,https://unsplash.com/s/photos/Professional+Neutral+Cool+%5B%27%232C3E50%27%2C+%27%2334495E%27%2C+%27%237FB3D3%27%2C+%27%23D6EAF8%27%5D+outfit,https://amazon.com/professional-neutral-cool,https://flipkart.com/professional-neutral-cool,https://meesho.com/professional-neutral-cool,local image path replaced
Other,Office,Deep Warm,Summer,35,Professional Neutral Warm,"['#8B4513', '#A0522D', '#D2691E', '#F4A460']",/static/images/professional_neutral_warm.jpg,https://amazon.com/professional-neutral-warm,https://flipkart.com/professional-neutral-warm,https://meesho.com/professional-neutral-warm,Professional,https://unsplash.com/s/photos/Professional+Neutral+Warm+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23D2691E%27%2C+%27%23F4A460%27%5D+outfit,https://amazon.com/professional-neutral-warm,https://flipkart.com/professional-neutral-warm,https://meesho.com/professional-neutral-warm,local image path replaced
Other,Marriage,Light Cool,Autumn,8,Wedding Neutral Cool,"['#2C3E50', '#85C1E9', '#D6EAF8', '#F8F9FA']",/static/images/wedding_neutral_cool.jpg,https://amazon.com/wedding-neutral-cool,https://flipkart.com/wedding-neutral-cool,https://meesho.com/wedding-neutral-cool,Wedding,https://unsplash.com/s/photos/Wedding+Neutral+Cool+%5B%27%232C3E50%27%2C+%27%2385C1E9%27%2C+%27%23D6EAF8%27%2C+%27%23F8F9FA%27%5D+outfit,https://amazon.com/wedding-neutral-cool,https://flipkart.com/wedding-neutral-cool,https://meesho.com/wedding-neutral-cool,local image path replaced
Other,Marriage,Light Warm,Autumn,12,Wedding Neutral Warm,"['#8B4513', '#CD853F', '#DEB887', '#F5DEB3']",/static/images/wedding_neutral_warm.jpg,https://amazon.com/wedding-neutral-warm,https://flipkart.com/wedding-neutral-warm,https://meesho.com/wedding-neutral-warm,Wedding,https://unsplash.com/s/photos/Wedding+Neutral+Warm+%5B%27%238B4513%27%2C+%27%23CD853F%27%2C+%27%23DEB887%27%2C+%27%23F5DEB3%27%5D+outfit,https://amazon.com/wedding-neutral-warm,https://flipkart.com/wedding-neutral-warm,https://meesho.com/wedding-neutral-warm,local image path replaced
Other,Casual,Medium Cool,Winter,5,Casual Neutral Cool,"['#34495E', '#7FB3D3', '#AED6F1', '#D6EAF8']",/static/images/casual_neutral_cool.jpg,https://amazon.com/casual-neutral-cool,https://flipkart.com/casual-neutral-cool,https://meesho.com/casual-neutral-cool,Casual,https://unsplash.com/s/photos/Casual+Neutral+Cool+%5B%27%2334495E%27%2C+%27%237FB3D3%27%2C+%27%23AED6F1%27%2C+%27%23D6EAF8%27%5D+outfit,https://amazon.com/casual-neutral-cool,https://flipkart.com/casual-neutral-cool,https://meesho.com/casual-neutral-cool,local image path replaced
Other,Casual,Medium Warm,Winter,3,Casual Neutral Warm,"['#A0522D', '#CD853F', '#D2691E', '#DEB887']",/static/images/casual_neutral_warm.jpg,https://amazon.com/casual-neutral-warm,https://flipkart.com/casual-neutral-warm,https://meesho.com/casual-neutral-warm,Casual,https://unsplash.com/s/photos/Casual+Neutral+Warm+%5B%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23DEB887%27%5D+outfit,https://amazon.com/casual-neutral-warm,https://flipkart.com/casual-neutral-warm,https://meesho.com/casual-neutral-warm,local image path replaced
Other,Formal,Deep Cool,Spring,19,Formal Neutral Cool,"['#2C3E50', '#34495E', '#5D6D7E', '#85929E']",/static/images/formal_neutral_cool.jpg,https://amazon.com/formal-neutral-cool,https://flipkart.com/formal-neutral-cool,https://meesho.com/formal-neutral-cool,Professional,https://unsplash.com/s/photos/Formal+Neutral+Cool+%5B%27%232C3E50%27%2C+%27%2334495E%27%2C+%27%235D6D7E%27%2C+%27%2385929E%27%5D+outfit,https://amazon.com/formal-neutral-cool,https://flipkart.com/formal-neutral-cool,https://meesho.com/formal-neutral-cool,local image path replaced
Other,Formal,Deep Warm,Spring,25,Formal Neutral Warm,"['#8B4513', '#A0522D', '#CD853F', '#D2691E']",/static/images/formal_neutral_warm.jpg,https://amazon.com/formal-neutral-warm,https://flipkart.com/formal-neutral-warm,https://meesho.com/formal-neutral-warm,Professional,https://unsplash.com/s/photos/Formal+Neutral+Warm+%5B%27%238B4513%27%2C+%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2691E%27%5D+outfit,https://amazon.com/formal-neutral-warm,https://flipkart.com/formal-neutral-warm,https://meesho.com/formal-neutral-warm,local image path replaced
Other,Date,Light Cool,Summer,28,Date Neutral Cool,"['#4682B4', '#87CEEB', '#B0E0E6', '#E0F6FF']",/static/images/date_neutral_cool.jpg,https://amazon.com/date-neutral-cool,https://flipkart.com/date-neutral-cool,https://meesho.com/date-neutral-cool,Party,https://unsplash.com/s/photos/Date+Neutral+Cool+%5B%27%234682B4%27%2C+%27%2387CEEB%27%2C+%27%23B0E0E6%27%2C+%27%23E0F6FF%27%5D+outfit,https://amazon.com/date-neutral-cool,https://flipkart.com/date-neutral-cool,https://meesho.com/date-neutral-cool,local image path replaced
Other,Date,Light Warm,Summer,33,Date Neutral Warm,"['#CD853F', '#D2691E', '#DEB887', '#F4A460']",/static/images/date_neutral_warm.jpg,https://amazon.com/date-neutral-warm,https://flipkart.com/date-neutral-warm,https://meesho.com/date-neutral-warm,Party,https://unsplash.com/s/photos/Date+Neutral+Warm+%5B%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23DEB887%27%2C+%27%23F4A460%27%5D+outfit,https://amazon.com/date-neutral-warm,https://flipkart.com/date-neutral-warm,https://meesho.com/date-neutral-warm,local image path replaced
Other,Travel,Medium Cool,Autumn,14,Travel Neutral Cool,"['#2F4F4F', '#4682B4', '#87CEEB', '#D3D3D3']",/static/images/travel_neutral_cool.jpg,https://amazon.com/travel-neutral-cool,https://flipkart.com/travel-neutral-cool,https://meesho.com/travel-neutral-cool,Casual,https://unsplash.com/s/photos/Travel+Neutral+Cool+%5B%27%232F4F4F%27%2C+%27%234682B4%27%2C+%27%2387CEEB%27%2C+%27%23D3D3D3%27%5D+outfit,https://amazon.com/travel-neutral-cool,https://flipkart.com/travel-neutral-cool,https://meesho.com/travel-neutral-cool,local image path replaced
Other,Travel,Medium Warm,Autumn,18,Travel Neutral Warm,"['#A0522D', '#CD853F', '#D2691E', '#F5DEB3']",/static/images/travel_neutral_warm.jpg,https://amazon.com/travel-neutral-warm,https://flipkart.com/travel-neutral-warm,https://meesho.com/travel-neutral-warm,Casual,https://unsplash.com/s/photos/Travel+Neutral+Warm+%5B%27%23A0522D%27%2C+%27%23CD853F%27%2C+%27%23D2691E%27%2C+%27%23F5DEB3%27%5D+outfit,https://amazon.com/travel-neutral-warm,https://flipkart.com/travel-neutral-warm,https://meesho.com/travel-neutral-warm,local image path replaced
